학번,입학년학기,학과코드,스냅샷년학기,그룹키,성별,국적코드,만나이,입학년도,입학학기,입학구분,과정,학년제,입학후학기수,스냅학적코드,활성여부,누적GPA,직전학기GPA,이수학기수,학사경고누적,출석수,지각수,결석수,총수업수,출석률,등록금미납,ID유예누적,당기유예대상,학적변동누적,휴학누적,비자유형,체류만료일,여권만료일,이탈정답,5종라벨,최종학적그룹,종결일,종결까지일수
201831902,20181,1301309001,20211,1301309001_20181,1,586,26,2018,1,1,1,2,6,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1641
201831902,20181,1301309001,20212,1301309001_20181,1,586,26,2018,1,1,1,2,7,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1519
201831902,20181,1301309001,20221,1301309001_20181,1,586,27,2018,1,1,1,2,8,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1276
201831902,20181,1301309001,20222,1301309001_20181,1,586,27,2018,1,1,1,2,9,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,1154
201831902,20181,1301309001,20231,1301309001_20181,1,586,28,2018,1,1,1,2,10,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,911
201831902,20181,1301309001,20232,1301309001_20181,1,586,28,2018,1,1,1,2,11,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,789
201831902,20181,1301309001,20241,1301309001_20181,1,586,29,2018,1,1,1,2,12,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,545
201831902,20181,1301309001,20242,1301309001_20181,1,586,29,2018,1,1,1,2,13,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,423
201831902,20181,1301309001,20251,1301309001_20181,1,586,30,2018,1,1,1,2,14,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,180
201831902,20181,1301309001,20252,1301309001_20181,1,586,30,2018,1,1,1,2,15,02,0,2.44,2.44,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,1,DROP,04,20260227,58
201831903,20181,1301309000,20181,1301309000_20181,1,586,20,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,0,GRAD,07,20210820,1085
201831903,20181,1301309000,20182,1301309000_20181,1,586,21,2018,1,1,1,2,1,03,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210820,963
201831903,20181,1301309000,20191,1301309000_20181,1,586,21,2018,1,1,1,2,2,03,1,3.06,3.06,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210820,720
201831903,20181,1301309000,20192,1301309000_20181,1,586,22,2018,1,1,1,2,3,03,1,2.835,2.61,2,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210820,598
201831903,20181,1301309000,20201,1301309000_20181,1,586,22,2018,1,1,1,2,4,03,1,2.49,1.8,3,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,4,1,NULL,NULL,NULL,0,GRAD,07,20210820,354
201831903,20181,1301309000,20202,1301309000_20181,1,586,23,2018,1,1,1,2,5,03,1,2.7275,3.44,4,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,4,1,NULL,NULL,NULL,0,GRAD,07,20210820,232
201831904,20181,1301309000,20181,1301309000_20181,1,586,20,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831905,20181,1301309000,20181,1301309000_20181,1,586,22,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831906,20181,1301309000,20181,1301309000_20181,1,586,23,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,131
201831906,20181,1301309000,20182,1301309000_20181,1,586,23,2018,1,1,1,2,1,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,9
201831907,20181,1301309000,20181,1301309000_20181,1,586,21,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,131
201831907,20181,1301309000,20182,1301309000_20181,1,586,21,2018,1,1,1,2,1,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,9
201831908,20181,1301309000,20181,1301309000_20181,1,586,27,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,131
201831908,20181,1301309000,20182,1301309000_20181,1,586,27,2018,1,1,1,2,1,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,9
201831909,20181,1301309000,20181,1301309000_20181,1,586,29,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831910,20181,1301309000,20181,1301309000_20181,1,586,23,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831911,20181,1301309000,20181,1301309000_20181,1,586,19,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831912,20181,1301309000,20181,1301309000_20181,1,586,23,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831913,20181,1301309000,20181,1301309000_20181,1,586,21,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
201831914,20181,1301309001,20181,1301309001_20181,1,586,18,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,0,LEAVE,02,NULL,NULL
201831914,20181,1301309001,20182,1301309001_20181,1,586,18,2018,1,1,1,2,1,03,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,LEAVE,02,NULL,NULL
201831914,20181,1301309001,20191,1301309001_20181,1,586,19,2018,1,1,1,2,2,02,0,3.28,3.28,1,0,NULL,NULL,NULL,NULL,NULL,1,0,NULL,4,2,NULL,NULL,NULL,0,LEAVE,02,NULL,NULL
201831914,20181,1301309001,20192,1301309001_20181,1,586,19,2018,1,1,1,2,3,02,0,3.28,3.28,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4,2,NULL,NULL,NULL,0,LEAVE,02,NULL,NULL
201831914,20181,1301309001,20201,1301309001_20181,1,586,20,2018,1,1,1,2,4,02,0,3.28,3.28,1,0,NULL,NULL,NULL,NULL,NULL,1,0,NULL,4,2,NULL,NULL,NULL,0,LEAVE,02,NULL,NULL
